Setpoint,Tr,Tj,Action
45.30756431,45.0787,38.3584,0.6075946831862098
45.33274461,45.1502,37.5376,0.5224415914984484
45.35787381,45.217,36.8205,0.5729470565333281
45.38295209,45.279,35.9935,0.6958865003910399
45.40797961,45.339,36.1404,0.44172075941288885
45.43295652,45.3988,36.0513,0.5144474598764522
45.457883,45.4563,35.472,0.7127983191463305
45.4827592,45.5141,36.1964,0.29356464985077035
45.50758529,45.572,35.7043,0.666309922773969
45.53236143,45.6272,35.3398,0.6850060741234096
45.55708777,45.6807,35.1943,0.6495792821083618
45.58176448,45.7333,35.1276,0.6402645881432277
45.60639171,45.7859,35.262,0.569960510663762
45.63096964,45.8377,34.9899,0.722334458524792
45.6554984,45.8899,35.4624,0.4573309699952618
45.67997817,45.9427,35.3442,0.6371168447171083
45.70440911,45.9955,35.5313,0.5342169744343243
45.72879136,46.0487,35.6049,0.5588177485379385
45.75312509,46.102,35.6641,0.5584669984373785
45.77741045,46.1551,35.6279,0.5909101495517417
45.80164759,46.2087,35.9339,0.4685159768996707
45.82583669,46.2651,36.6988,0.2801127358146349
45.84997788,46.3222,36.3707,0.5853189348090797
45.87407132,46.3798,36.9431,0.31446314882742665
45.89811718,46.4389,37.0134,0.4318553854713113
45.9221156,46.4977,36.9576,0.4693007567311602
45.94606673,46.5575,37.4536,0.30102240537401403
45.96997074,46.6191,37.738,0.33065475894249813
45.99382776,46.6813,37.8043,0.37664580126989106
46.01763796,46.7436,37.8772,0.37221279600080137
46.04140149,46.8066,38.1703,0.30518757058215257
46.06511849,46.8706,38.3514,0.3190914756743069
46.08878913,46.9339,38.091,0.43436258533048205
46.11241354,46.9971,38.3836,0.29855063789653064
46.13599188,47.0614,38.616,0.29804920394698153
46.1595243,47.1245,38.1348,0.4843256008238508
46.18301095,47.1843,37.5789,0.552422759872523
46.20645197,47.244,38.1335,0.26959389612716034
46.22984752,47.3057,38.4212,0.31009828060658445
46.25319775,47.3685,38.6496,0.309363859477122
46.27650279,47.4305,38.2983,0.457131497257335
46.2997628,47.4891,37.5914,0.5962360596850099
46.32297793,47.5462,37.8053,0.3826947454697227
46.34614832,47.6049,38.2651,0.29697025537922084
46.36927411,47.6614,37.2153,0.714648098788107
46.39235546,47.7139,36.9272,0.5837051899818408
46.4153925,47.7646,36.6664,0.6081636020592828
46.43838539,47.8162,37.2958,0.3415956810035584
46.46133427,47.8714,38.045,0.2600537730937468
46.48423927,47.9301,38.6553,0.25234773809627353
46.50710055,47.9901,38.6422,0.3850039865960824
46.52991824,48.0462,37.4614,0.7310942725587191
46.55269249,48.0984,37.292,0.5380786672089184
46.57542344,48.1495,37.1881,0.5361259528954367
46.59811124,48.1982,36.5573,0.7263745057584925
46.62075602,48.2442,36.3024,0.673204336235564
46.64335793,48.2911,36.9241,0.39871847542756683
46.6659171,48.3403,37.2292,0.4482528704234923
46.68843368,48.3899,37.1655,0.5406364363179293
46.7109078,48.4384,36.9595,0.596265795038883
46.73333961,48.4866,37.1144,0.5006621909633511
46.75572924,48.5346,37.0117,0.5719950996148186
46.77807684,48.5821,37.0049,0.5531966070639622
46.80038253,48.6307,37.4794,0.40078740833727466
46.82264646,48.6814,37.8512,0.39503880360522203
46.84486877,48.733,37.8962,0.46438435047288307
46.86704959,48.7852,38.1565,0.3991411629780154
46.88918906,48.8369,37.8558,0.5454363806240866
46.91128732,48.8866,37.5547,0.5766004099285669
46.93334449,48.9357,37.7108,0.465709217716987
46.95536073,48.9856,37.935,0.43378093502394827
46.97733615,49.0338,37.2517,0.6959616775078361
46.9992709,49.0795,37.0926,0.6019442917701832
47.0211651,49.1232,36.6734,0.7097413068723368
47.0430189,49.1645,36.2961,0.7494235032839333
47.06483243,49.2044,36.2364,0.6840630286841072
47.08660582,49.2448,36.5537,0.5577797821419221
47.1083392,49.2855,36.4452,0.6740041146611172
47.1300327,49.3267,36.7765,0.5345503693072966
47.15168646,49.3716,37.7949,0.284583497727569
47.17330061,49.4193,37.9156,0.4767713413390344
47.19487528,49.4653,37.3397,0.6831911629643146
47.21641059,49.5079,36.7698,0.75
47.23790669,49.5521,37.9114,0.255857042092501
47.25936369,49.5981,37.5714,0.614995281212029
47.28078173,49.6433,37.6805,0.5105183031020646
47.30216094,49.6904,38.3014,0.34999826244820004
47.32350145,49.7372,37.7494,0.6468488516787103
47.34480338,49.7834,38.1178,0.42267584034845135
47.36606687,49.8279,37.3136,0.75
47.38729203,49.8731,38.3425,0.2659194647656539
47.40847901,49.92,38.0891,0.5607392007498817
47.42962791,49.9675,38.5785,0.3689464106872543
47.45073888,50.0132,37.635,0.75
47.47181204,50.0565,37.7614,0.5178164015124791
47.4928475,50.0993,37.5418,0.6150610147583848
47.51384541,50.1424,37.9332,0.44911053110804594
47.53480588,50.1883,38.5875,0.3430965029401681
47.55572903,50.2329,37.6714,0.75
47.576615,50.2755,37.8926,0.49522940430878354
47.5974639,50.3202,38.4577,0.37717824088519647
47.61827586,50.3664,38.5571,0.4672083127790604
47.63905101,50.4115,38.1795,0.5981717444077297
47.65978945,50.4573,38.8227,0.3398018387798174
47.68049133,50.5066,39.523,0.2836248157316243
47.70115675,50.5569,39.3052,0.47684842227802265
47.72178585,50.6035,38.3609,0.6983356465201711
47.74237873,50.645,37.5837,0.75
47.76293553,50.6843,37.6119,0.5815391015500504
47.78345636,50.7267,38.7198,0.26032549973286434
47.80394135,50.7728,39.0109,0.4100085754112339
47.8243906,50.8186,38.737,0.5441585567768028
47.84480425,50.8607,37.8551,0.75
47.86518241,50.8992,37.4927,0.6863253277236976
47.8855252,50.9362,37.3748,0.6490234169562819
47.90583274,50.9718,37.0672,0.7263958284859723
47.92610515,51.0092,38.0185,0.3577538385567792
47.94634254,51.0471,37.4203,0.75
47.96654503,51.0856,38.2258,0.3769708212975129
47.98671274,51.1265,38.3589,0.5091003569653316
48.00684578,51.1694,39.0117,0.3537350377205547
48.02694428,51.2143,39.1866,0.4370849901671128
48.04700834,51.2604,39.5026,0.38881435314736595
48.06703808,51.3045,38.6468,0.6819278029616157
48.08703362,51.3463,38.6869,0.508689553577057
48.10699507,51.387,38.3719,0.6084298405962969
48.12692255,51.4268,38.423,0.5327106559292545
48.14681617,51.4689,39.2198,0.3224238796716886
48.16667605,51.5134,39.4153,0.4278063689249778
48.18650229,51.5551,38.3871,0.75
48.20629501,51.5919,37.7328,0.75
48.22605432,51.6256,37.3179,0.75
48.24578034,51.6572,37.0562,0.75
48.26547318,51.6895,37.569,0.5260962349612033
48.28513295,51.7221,37.2842,0.7309681892736145
48.30475976,51.7566,38.2478,0.3704143899577234
48.32435372,51.7969,39.3771,0.2582148147957371
48.34391494,51.837,38.402,0.75
48.36344353,51.8736,38.1344,0.6425764560115689
48.38293961,51.9097,38.2926,0.5432050830931634
48.40240327,51.9469,38.5817,0.49281379796731145
48.42183464,51.9826,37.9123,0.75
48.44123382,52.0151,37.4875,0.75
48.46060091,52.0457,37.2774,0.7307850772707493
48.47993604,52.0752,37.1642,0.7246594112078407
48.49923929,52.1039,37.0201,0.75
48.51851079,52.1318,36.9316,0.75
48.53775064,52.1597,37.0623,0.6871439833124735
48.55695894,52.1881,37.1899,0.674471777656459
48.57613581,52.221,38.6366,0.25661842887944974
48.59528135,52.2601,39.4924,0.3240704304740825
48.61439566,52.2984,38.5404,0.75
48.63347885,52.3348,38.7918,0.49869568274933135
48.65253102,52.3729,39.2097,0.43429230306480876
48.67155229,52.4103,38.6839,0.6610588665971228
48.69054275,52.4467,38.8839,0.505659491273228
48.70950251,52.4862,39.8091,0.298922242247017
48.72843167,52.5248,38.7752,0.75
48.74733034,52.5585,38.1168,0.75
48.76619861,52.5891,37.6988,0.75
48.7850366,52.6176,37.4348,0.75
48.80384441,52.6448,37.2692,0.75
48.82262213,52.6754,38.6478,0.2905506949939984
48.84136987,52.7118,39.4095,0.36611707108547137
48.86008774,52.7528,40.3365,0.27671359089341263
48.87877582,52.7925,39.1509,0.75
48.89743423,52.8278,38.7954,0.6352903742513881
48.91606306,52.865,39.8351,0.2897610412933779
48.93466241,52.9037,39.4485,0.5860239036769572
48.95323239,52.9418,39.6652,0.4602697333400492
48.9717731,52.9782,38.9962,0.6802755869143968
48.99028462,53.0106,38.3218,0.75
49.00876707,53.0443,39.4058,0.3157413996455638
49.02722054,53.0822,39.8863,0.40079931724047124
49.04564513,53.1213,39.9328,0.4780702834002398
49.06404093,53.1573,38.9429,0.75
49.08240805,53.1886,38.3124,0.75
49.10074658,53.22,38.9696,0.43996347795006024
49.11905662,53.2522,38.7031,0.6442727561532593
49.13733827,53.2835,38.689,0.5984986208624936
49.15559162,53.313,38.167,0.75
49.17381677,53.34,37.836,0.75
49.19201381,53.3684,38.6603,0.4369065689662807
49.21018285,53.3974,38.1604,0.75
49.22832397,53.4271,38.9072,0.43542639960894436
49.24643727,53.4598,39.2827,0.4799279418780037
49.26452285,53.4922,38.9257,0.6498979422853091
49.28258079,53.5243,39.1964,0.509417574415763
49.3006112,53.5572,39.2814,0.5387714744156877
49.31861417,53.588,38.5854,0.75
49.33658979,53.6155,38.1428,0.75
49.35453815,53.6437,38.8209,0.4652012197540306
49.37245935,53.6744,39.1134,0.5180887473517259
49.39035348,53.7039,38.4938,0.75
49.40822063,53.735,39.6438,0.3144302827331601
49.4260609,53.7668,38.9206,0.7282028613979744
49.44387437,53.7954,38.547,0.7019919774641186
49.46166113,53.8217,38.147,0.75
49.47942128,53.8466,38.0852,0.6910207051149448
49.49715491,53.8719,38.3092,0.6120838183057716
49.51486211,53.8972,38.1622,0.7020221964504789
49.53254297,53.9212,37.9141,0.75
49.55019758,53.944,37.7582,0.75
49.56782602,53.9671,38.0492,0.6283893213684446
49.58542839,53.9903,37.8513,0.75
49.60300478,54.0166,39.1463,0.3302694112426282
49.62055527,54.0445,38.5625,0.75
49.63807996,54.0696,38.1916,0.75
49.65557892,54.0949,38.6404,0.5454920826618425
49.67305226,54.1201,38.2486,0.75
49.69050005,54.1436,38.0789,0.725937238416368
49.70792238,54.166,37.8949,0.75
49.72531935,54.1874,37.7799,0.75
49.74269103,54.2082,37.7091,0.75
49.76003752,54.2286,37.6665,0.75
49.77735889,54.2505,38.2374,0.5644492195308501
49.79465524,54.2779,39.6579,0.28135647601167285
49.81192665,54.311,40.3386,0.37934203344470385
49.8291732,54.3428,39.3689,0.75
49.84639499,54.3703,38.823,0.7294913609317368
49.86359209,54.3984,39.5531,0.42835344520127144
49.88076459,54.4308,40.4283,0.34261616261809197
49.89791257,54.4628,39.5767,0.7146457086513569
49.91503612,54.4907,38.9986,0.7226507667395398
49.93213532,54.5155,38.5336,0.75
49.94921025,54.5381,38.2385,0.75
49.966261,54.5632,39.3831,0.3663720646395284
49.98328765,54.5894,38.7905,0.75
50.00029028,54.6181,40.2232,0.2578030322234141
50.01726897,54.6534,41.2117,0.2840370369873601
50.03422381,54.6924,41.6188,0.3605804576730419
50.05115488,54.7338,42.1349,0.3155276156076289
50.06806225,54.7776,42.5664,0.30774214856937404
50.08494601,54.8172,40.8639,0.75
50.10180624,54.8497,40.0497,0.680154025554657
50.11864302,54.8803,40.1825,0.5088365487754345
50.13545643,54.9135,41.0158,0.3314772130233027
50.15224655,54.9489,41.0661,0.4625362604856491
50.16901346,54.9844,41.1122,0.46136708930134773
50.18575724,55.02,41.1527,0.46080442145466805
50.20247796,55.0533,40.4248,0.6416172191569065
50.21917571,55.0863,41.0532,0.370709310038287
50.23585057,55.1211,41.1362,0.45832545682787895
50.25250261,55.1545,40.6702,0.5829295587795938
50.26913191,55.1872,40.8838,0.45576033741235733
50.28573854,55.2207,41.0503,0.4536190405488014
50.3023226,55.2549,41.1867,0.45071346685290337
50.31888414,55.2876,40.6389,0.6032873531364895
50.33542326,55.3195,40.9145,0.4478222206234932
50.35194002,55.3499,40.2169,0.6643284572778689
50.3684345,55.3795,40.6318,0.44531985744833946
50.38490679,55.412,41.2732,0.36631349641488276
50.40135694,55.4437,40.4955,0.6574832396851237
50.41778505,55.4742,40.8645,0.44073252379894257
50.43419118,55.5064,41.1433,0.4385502189397812
50.45057542,55.5398,41.3545,0.4371430575847626
50.46693782,55.5701,40.2079,0.746005621707237
50.48327848,55.6003,41.261,0.3029530774411161
50.49959746,55.6338,41.4754,0.4320542812347412
50.51589484,55.6661,40.924,0.5948841325388752
50.53217069,55.6954,40.4703,0.615354549563738
50.54842508,55.7248,40.9765,0.4187018871307373
50.5646581,55.7562,41.2562,0.43952844803871427
50.5808698,55.7892,41.5819,0.4124763682484627
50.59706026,55.8236,41.8387,0.4090224727988243
50.61322957,55.8601,42.3724,0.3359265495238215
50.62937778,55.8981,42.4574,0.4018384516239166
50.64550497,55.9326,41.2971,0.6695945611293261
50.66161121,55.9637,41.2462,0.5011947287446308
50.67769657,55.9959,41.7118,0.38870730996131897
50.69376113,56.0302,42.0714,0.38561465591192245
50.70980495,56.0661,42.3541,0.38259977102279663
50.72582811,56.1033,42.5829,0.3792363628745079
50.74183067,56.1414,42.7692,0.3765977472066879
50.75781271,56.1803,42.9399,0.37087489664554596
50.7737743,56.22,43.1005,0.36504191160202026
50.7897155,56.2603,43.2423,0.36158715188503265
50.80563638,56.3012,43.3826,0.3557836562395096
50.82153702,56.3419,43.2855,0.3963970157202594
50.83741748,56.381,42.91,0.4587431873980059
50.85327784,56.4168,42.2038,0.5520589020104409
50.86911815,56.4521,42.7143,0.33979594707489014
50.88493849,56.4897,43.1248,0.3347606658935547
50.90073893,56.5292,43.4568,0.33082379400730133
50.91651953,56.5702,43.7358,0.32600148022174835
50.93228036,56.609,42.8296,0.5461152093809184
50.94802148,56.6467,43.3158,0.3185812383890152
50.96374298,56.6866,43.7047,0.31503237783908844
50.9794449,56.7283,44.0392,0.308177649974823
50.99512732,56.7688,43.4068,0.4777220747250135
51.01079031,56.8089,43.902,0.2939283698797226
51.02643392,56.848,43.1942,0.5029331919126542
51.04205824,56.8845,43.0285,0.43651743194037373
51.05766331,56.9223,43.7027,0.2804534137248993
51.07324921,56.9633,44.2452,0.276004433631897
51.088816,57.0069,44.6905,0.271333783864975
51.10436374,57.0525,45.067,0.2660406678915024
51.11989251,57.0999,45.3908,0.2610137015581131
51.13540236,57.1467,44.9786,0.3768212621284114
51.15089336,57.1933,45.401,0.25
51.16636557,57.2388,44.734,0.42423799451674854
51.18181906,57.2838,45.2268,0.25
51.19725389,57.331,45.6126,0.25
51.21267012,57.3799,45.9165,0.25
51.22806782,57.43,46.1577,0.25
51.24344704,57.4781,45.3348,0.42084905743236606
51.25880786,57.5249,45.7251,0.25
51.27415032,57.5734,46.0324,0.25
51.2894745,57.6231,46.2761,0.25
51.30478046,57.6735,46.3782,0.2651176290029913
51.32006826,57.7245,46.5572,0.25
51.33533795,57.7727,45.5761,0.43633953491049776
51.3505896,57.8192,45.9553,0.25
51.36582328,57.8673,46.254,0.25
51.38103903,57.9131,45.2832,0.45297116098414186
51.39623693,57.9545,44.771,0.42130549217079516
51.41141703,57.9961,45.3636,0.25
51.42657939,58.0386,45.2162,0.35487497482781755
51.44172407,58.0772,44.1041,0.5385701220101708
51.45685113,58.1149,44.8693,0.25
51.47196063,58.1562,45.4635,0.25
51.48705263,58.2002,45.9268,0.25
51.50212718,58.2407,44.4281,0.573598326947018
51.51718436,58.2792,45.1432,0.25
51.5322242,58.321,45.6991,0.25
51.54724678,58.3654,46.133,0.25
51.56225215,58.4057,44.4581,0.598241215350725
51.57724037,58.4435,45.1913,0.25
51.59221149,58.4847,45.7609,0.25
51.60716557,58.5286,46.2053,0.25
51.62210267,58.5744,46.5537,0.25
51.63702285,58.6178,45.4957,0.47101781886496263
51.65192616,58.6597,46.0215,0.25
51.66681267,58.704,46.4322,0.25
51.68168241,58.748,46.0587,0.3638797507689305
51.69653546,58.792,46.4742,0.25
51.71137186,58.8379,46.8004,0.25
51.72619168,58.8851,47.0583,0.25
51.74099496,58.9334,47.2638,0.25
51.75578176,58.9736,44.5104,0.7402900663936411
51.77055214,59.0088,45.3175,0.25
51.78530616,59.0478,45.9436,0.25
51.80004386,59.0897,46.4311,0.25
51.8147653,59.1339,46.8123,0.25
51.82947053,59.1797,47.1122,0.25
51.84415961,59.2268,47.3498,0.25
51.8588326,59.2748,47.5397,0.25
51.87348954,59.3235,47.693,0.25
51.88813048,59.3711,47.2502,0.33738600208047
51.90275549,59.4179,47.4849,0.25
51.91736461,59.4656,47.6725,0.25
51.9319579,59.514,47.8241,0.25
51.9465354,59.5547,45.2188,0.69315233304328
51.96109718,59.5905,45.9503,0.25
51.97564328,59.6298,46.5184,0.25
51.99017375,59.6658,44.9986,0.5805587557540497
52.00468865,59.7,45.7978,0.25
52.01918803,59.732,44.4212,0.5982315723262503
52.03367193,59.763,45.3637,0.25
52.04814041,59.798,45.9155,0.27997214912478663
52.06259352,59.8283,43.9517,0.7038664787425197
52.07703131,59.8565,45.0172,0.25
52.09145383,59.8898,45.841,0.25
52.10586113,59.927,46.4796,0.25
52.12025327,59.9672,46.9764,0.25
52.13463028,60.0096,47.3646,0.25
52.14899222,60.0538,47.6696,0.25
52.16333913,60.0992,47.9109,0.25
52.17767108,60.1456,48.1033,0.25
52.1919881,60.1927,48.2584,0.25
52.20629025,60.2404,48.3848,0.25
52.22057757,60.2852,47.4025,0.41399400045403983
52.23485011,60.3282,47.7405,0.25
52.24910792,60.3669,46.093,0.5536246870057705
52.26335105,60.403,46.7457,0.25
52.27757955,60.4421,47.2532,0.25
52.29179346,60.4835,47.6494,0.25
52.30599282,60.5267,47.9604,0.25
52.3201777,60.5712,48.2061,0.25
52.33434813,60.6167,48.4019,0.25
52.34850416,60.663,48.5593,0.25
52.36264583,60.7098,48.6874,0.25
52.3767732,60.756,48.4612,0.2984019765891871
52.39088631,60.8019,48.626,0.25
52.40498521,60.8483,48.7597,0.25
52.41906994,60.8952,48.8696,0.25
52.43314054,60.9424,48.9612,0.25
52.44719707,60.9898,49.0388,0.25
52.46123956,61.0373,49.1057,0.25
52.47526807,61.0849,49.1643,0.25
52.48928263,61.1326,49.2166,0.25
52.5032833,61.1803,49.2641,0.25
52.51727011,61.228,49.3078,0.25
52.53124312,61.2757,49.3487,0.25
52.54520235,61.3234,49.3873,0.25
52.55914787,61.371,49.4242,0.25
52.57307971,61.4186,49.4598,0.25
52.58699792,61.4654,49.2718,0.2813180015299049
52.60090253,61.5117,49.3569,0.25
52.6147936,61.5582,49.4294,0.25
52.62867116,61.6048,49.4922,0.25
52.64253526,61.6515,49.5475,0.25
52.65638594,61.6983,49.5971,0.25
52.67022324,61.744,49.2612,0.3035020700968958
52.68404721,61.7889,49.3909,0.25
52.69785789,61.8342,49.4975,0.25
52.71165532,61.8798,49.5863,0.25
52.72543953,61.9256,49.6615,0.25
52.73921058,61.9716,49.7263,0.25
52.75296851,62.0176,49.7831,0.25
52.76671334,62.0637,49.8338,0.25
52.78044514,62.1028,47.5326,0.5924672193417797
52.79416393,62.1373,48.1158,0.25
52.80786976,62.1745,48.5695,0.25
52.82156267,62.2089,47.274,0.4988884539126709
52.83524269,62.2416,47.9329,0.25
52.84890987,62.2774,48.4447,0.25
52.86256426,62.3073,46.0926,0.6797904182098107
52.87620588,62.3295,45.63,0.48531045195903644
52.88983477,62.3495,45.3447,0.4785293806656837
52.90345099,62.3719,46.4703,0.25
52.91705456,62.3998,47.3395,0.25
52.93064552,62.4319,48.0122,0.25
52.94422392,62.4645,47.6374,0.38562603838093207
52.9577898,62.4977,48.2511,0.25
52.97134318,62.5338,48.7282,0.25
52.98488412,62.5721,49.1006,0.25
52.99841264,62.612,49.3928,0.25
53.01192879,62.6531,49.6236,0.25
53.0254326,62.6952,49.8073,0.25
53.03892412,62.738,49.955,0.25
53.05240337,62.7813,50.0751,0.25
53.0658704,62.825,50.174,0.25
53.07932525,62.8604,47.427,0.6612033691778452
53.09276795,62.8906,48.1492,0.25
53.10619853,62.9242,48.7093,0.25
53.11961704,62.9604,49.1452,0.25
53.13302351,62.9944,48.0973,0.45251780664847496
53.14641797,63.0272,48.6851,0.25
53.15980048,63.0627,49.1421,0.25
53.17317105,63.093,47.0409,0.6186271212982386
53.18652972,63.1145,46.011,0.5531540665225425
53.19987654,63.1363,47.0986,0.25
53.21321154,63.1634,47.9384,0.25
53.22653474,63.1945,48.5884,0.25
53.2398462,63.2203,46.2935,0.6835835795525995
53.25314594,63.2382,45.7185,0.517458427463542
53.26643399,63.2579,46.8924,0.25
53.2797104,63.2833,47.7982,0.25
53.29297519,63.3131,48.4988,0.25
53.30622841,63.3462,49.0421,0.25
53.31947008,63.3766,47.7101,0.5090749068955871
53.33270025,63.4055,48.4451,0.25
53.34591893,63.4379,49.0148,0.25
53.35912617,63.4729,49.4579,0.25
53.37232201,63.509,49.4992,0.2926554615593517
53.38550647,63.5461,49.8412,0.25
53.39867959,63.5819,49.1633,0.382519849182241
53.4118414,63.6162,49.3617,0.2828024336049628
53.42499193,63.652,49.7517,0.25
53.43813122,63.6896,50.0571,0.25
53.4512593,63.7285,50.2977,0.25
53.46437621,63.7684,50.4886,0.25
53.47748197,63.809,50.6415,0.25
53.49057661,63.8502,50.7652,0.25
53.50366018,63.8918,50.8666,0.25
53.51673269,63.9337,50.9509,0.25
53.52979419,63.9758,51.0221,0.25
53.54284471,64.018,51.0832,0.25
53.55588427,64.0603,51.1366,0.25
53.56891291,64.1027,51.1841,0.25
